start	end	tumor	normal
1	10000	0	0
10001	20000	180	447
20001	30000	267	679
30001	40000	249	614
40001	50000	389	975
50001	60000	361	913
60001	70000	343	811
70001	80000	68	173
80001	90000	66	176
90001	100000	104	201
100001	110000	66	179
110001	120000	74	174
120001	130000	65	146
130001	140000	73	207
140001	150000	65	197
150001	160000	73	162
160001	170000	72	165
170001	180000	78	173
180001	190000	71	167
190001	200000	89	160
200001	210000	62	173
210001	220000	79	165
220001	230000	58	170
230001	240000	68	172
240001	250000	92	189
250001	260000	71	202
260001	270000	98	160
270001	280000	73	184
280001	290000	66	165
290001	300000	68	173
300001	310000	69	169
310001	320000	77	156
320001	330000	71	143
330001	340000	67	151
340001	350000	77	137
350001	360000	74	161
360001	370000	68	168
370001	380000	74	132
380001	390000	69	148
390001	400000	65	169
400001	410000	59	172
410001	420000	85	167
420001	430000	84	170
430001	440000	79	168
440001	450000	92	175
450001	460000	83	163
460001	470000	61	163
470001	480000	89	162
480001	490000	75	158
490001	500000	64	157
500001	510000	63	167
510001	520000	52	137
520001	530000	45	140
530001	540000	71	164
540001	550000	93	191
550001	560000	83	158
560001	570000	45	147
570001	580000	62	143
580001	590000	80	169
590001	600000	83	165
600001	610000	71	169
610001	620000	61	115
620001	630000	62	130
630001	640000	65	154
640001	650000	44	157
650001	660000	55	111
660001	670000	44	125
670001	680000	44	116
680001	690000	45	128
690001	700000	63	137
700001	710000	44	155
710001	720000	49	131
720001	730000	46	126
730001	740000	48	119
740001	750000	49	136
750001	760000	44	147
760001	770000	56	157
770001	780000	61	136
780001	790000	38	133
790001	800000	51	141
800001	810000	67	144
810001	820000	47	133
820001	830000	57	112
830001	840000	71	134
840001	850000	37	136
850001	860000	48	130
860001	870000	46	118
870001	880000	47	106
880001	890000	44	120
890001	900000	57	120
900001	910000	32	143
910001	920000	70	154
920001	930000	59	150
930001	940000	75	161
940001	950000	76	117
950001	960000	49	140
960001	970000	35	128
970001	980000	62	147
980001	990000	63	123
990001	1000000	38	136
1000001	1010000	47	135
1010001	1020000	43	112
1020001	1030000	52	121
1030001	1040000	44	105
1040001	1050000	44	125
1050001	1060000	54	157
1060001	1070000	58	163
1070001	1080000	63	172
1080001	1090000	53	136
1090001	1100000	78	173
1100001	1110000	58	173
1110001	1120000	89	203
1120001	1130000	75	173
1130001	1140000	68	215
1140001	1150000	71	175
1150001	1160000	93	169
1160001	1170000	38	132
1170001	1180000	62	189
1180001	1190000	62	130
1190001	1200000	48	143
1200001	1210000	43	104
1210001	1220000	45	135
1220001	1230000	56	153
1230001	1240000	45	161
1240001	1250000	43	129
1250001	1260000	66	154
1260001	1270000	74	133
1270001	1280000	49	130
1280001	1290000	54	135
1290001	1300000	61	157
1300001	1310000	53	144
1310001	1320000	54	145
1320001	1330000	51	122
1330001	1340000	63	161
1340001	1350000	62	122
1350001	1360000	54	132
1360001	1370000	49	137
1370001	1380000	37	129
1380001	1390000	64	186
1390001	1400000	54	133
1400001	1410000	32	137
1410001	1420000	55	145
1420001	1430000	77	181
1430001	1440000	0	0
1440001	1450000	0	0
1450001	1460000	0	0
1460001	1470000	0	0
1470001	1480000	7	25
1480001	1490000	76	195
1490001	1500000	47	125
1500001	1510000	90	136
1510001	1520000	67	112
1520001	1530000	72	177
1530001	1540000	44	129
1540001	1550000	54	123
