chromosome	start	end	width	test	ref
Chr07	1	10000	10000	1113	1031
Chr07	5001	15000	10000	445	422
Chr07	10001	20000	10000	291	302
Chr07	15001	25000	10000	348	341
Chr07	20001	30000	10000	369	353
Chr07	25001	35000	10000	361	366
Chr07	30001	40000	10000	380	420
Chr07	35001	45000	10000	406	381
Chr07	40001	50000	10000	412	338
Chr07	45001	55000	10000	437	369
Chr07	50001	60000	10000	439	366
Chr07	55001	65000	10000	384	342
Chr07	60001	70000	10000	354	327
Chr07	65001	75000	10000	328	303
Chr07	70001	80000	10000	325	295
Chr07	75001	85000	10000	363	321
Chr07	80001	90000	10000	400	313
Chr07	85001	95000	10000	384	306
Chr07	90001	100000	10000	348	309
Chr07	95001	105000	10000	402	357
Chr07	100001	110000	10000	358	326
Chr07	105001	115000	10000	292	288
Chr07	110001	120000	10000	280	298
Chr07	115001	125000	10000	271	259
Chr07	120001	130000	10000	344	301
Chr07	125001	135000	10000	344	287
Chr07	130001	140000	10000	322	256
Chr07	135001	145000	10000	300	275
Chr07	140001	150000	10000	333	305
Chr07	145001	155000	10000	404	330
Chr07	150001	160000	10000	427	354
Chr07	155001	165000	10000	390	335
Chr07	160001	170000	10000	401	370
Chr07	165001	175000	10000	412	369
Chr07	170001	180000	10000	453	349
Chr07	175001	185000	10000	418	343
Chr07	180001	190000	10000	386	315
Chr07	185001	195000	10000	538	449
Chr07	190001	200000	10000	413	352
Chr07	195001	205000	10000	232	157
Chr07	200001	210000	10000	245	191
Chr07	205001	215000	10000	305	252
Chr07	210001	220000	10000	372	266
Chr07	215001	225000	10000	389	317
Chr07	220001	230000	10000	465	385
Chr07	225001	235000	10000	444	348
Chr07	230001	240000	10000	353	304
Chr07	235001	245000	10000	336	344
Chr07	240001	250000	10000	383	389
Chr07	245001	255000	10000	417	371
Chr07	250001	260000	10000	405	390
Chr07	255001	265000	10000	450	425
Chr07	260001	270000	10000	417	373
Chr07	265001	275000	10000	324	323
Chr07	270001	280000	10000	350	357
Chr07	275001	285000	10000	401	384
Chr07	280001	290000	10000	360	334
Chr07	285001	295000	10000	349	283
Chr07	290001	300000	10000	370	269
Chr07	295001	305000	10000	386	311
Chr07	300001	310000	10000	435	353
Chr07	305001	315000	10000	453	386
Chr07	310001	320000	10000	367	371
Chr07	315001	325000	10000	312	325
Chr07	320001	330000	10000	372	344
Chr07	325001	335000	10000	420	378
Chr07	330001	340000	10000	388	389
Chr07	335001	345000	10000	382	354
Chr07	340001	350000	10000	359	297
Chr07	345001	355000	10000	412	360
Chr07	350001	360000	10000	441	403
Chr07	355001	365000	10000	341	336
Chr07	360001	370000	10000	370	344
Chr07	365001	375000	10000	374	323
Chr07	370001	380000	10000	382	304
Chr07	375001	385000	10000	404	335
Chr07	380001	390000	10000	343	293
Chr07	385001	395000	10000	328	268
Chr07	390001	400000	10000	356	308
Chr07	395001	405000	10000	390	339
Chr07	400001	410000	10000	391	336
Chr07	405001	415000	10000	368	314
Chr07	410001	420000	10000	376	329
Chr07	415001	425000	10000	354	328
Chr07	420001	430000	10000	325	311
Chr07	425001	435000	10000	365	356
Chr07	430001	440000	10000	361	347
Chr07	435001	445000	10000	322	325
Chr07	440001	450000	10000	331	333
Chr07	445001	455000	10000	310	324
Chr07	450001	460000	10000	358	356
Chr07	455001	465000	10000	463	415
Chr07	460001	470000	10000	391	352
Chr07	465001	475000	10000	326	303
Chr07	470001	480000	10000	408	375
Chr07	475001	485000	10000	384	354
Chr07	480001	490000	10000	332	291
Chr07	485001	495000	10000	325	276
Chr07	490001	500000	10000	341	317
Chr07	495001	505000	10000	357	297
Chr07	500001	510000	10000	264	225
Chr07	505001	515000	10000	205	208
Chr07	510001	520000	10000	167	170
Chr07	515001	525000	10000	91	84
Chr07	520001	530000	10000	37	31
Chr07	525001	535000	10000	144	173
Chr07	530001	540000	10000	276	316
Chr07	535001	545000	10000	311	346
Chr07	540001	550000	10000	322	341
Chr07	545001	555000	10000	312	304
Chr07	550001	560000	10000	257	231
Chr07	555001	565000	10000	142	117
Chr07	560001	570000	10000	181	184
Chr07	565001	575000	10000	295	258
Chr07	570001	580000	10000	300	256
Chr07	575001	585000	10000	318	286
Chr07	580001	590000	10000	364	297
Chr07	585001	595000	10000	362	324
Chr07	590001	600000	10000	307	287
Chr07	595001	605000	10000	300	274
Chr07	600001	610000	10000	310	290
Chr07	605001	615000	10000	281	290
Chr07	610001	620000	10000	264	290
Chr07	615001	625000	10000	191	196
Chr07	620001	630000	10000	261	237
Chr07	625001	635000	10000	415	383
Chr07	630001	640000	10000	340	327
Chr07	635001	645000	10000	149	139
Chr07	640001	650000	10000	137	167
Chr07	645001	655000	10000	235	293
Chr07	650001	660000	10000	246	286
Chr07	655001	665000	10000	325	347
Chr07	660001	670000	10000	369	357
Chr07	665001	675000	10000	375	401
Chr07	670001	680000	10000	473	526
Chr07	675001	685000	10000	360	386
Chr07	680001	690000	10000	258	264
Chr07	685001	695000	10000	329	306
Chr07	690001	700000	10000	329	286
Chr07	695001	705000	10000	262	217
Chr07	700001	710000	10000	304	323
Chr07	705001	715000	10000	359	423
Chr07	710001	720000	10000	365	360
Chr07	715001	725000	10000	345	301
Chr07	720001	730000	10000	369	303
Chr07	725001	735000	10000	431	377
Chr07	730001	740000	10000	382	368
Chr07	735001	745000	10000	371	338
Chr07	740001	750000	10000	376	298
Chr07	745001	755000	10000	375	318
Chr07	750001	760000	10000	352	361
Chr07	755001	765000	10000	360	329
Chr07	760001	770000	10000	399	329
Chr07	765001	775000	10000	464	386
Chr07	770001	780000	10000	447	383
Chr07	775001	785000	10000	418	399
Chr07	780001	790000	10000	446	443
Chr07	785001	795000	10000	369	362
Chr07	790001	800000	10000	484	480
Chr07	795001	805000	10000	452	453
Chr07	800001	810000	10000	226	267
Chr07	805001	815000	10000	162	207
Chr07	810001	820000	10000	211	213
Chr07	815001	825000	10000	347	323
Chr07	820001	830000	10000	385	336
Chr07	825001	835000	10000	371	336
Chr07	830001	840000	10000	370	343
Chr07	835001	845000	10000	368	347
Chr07	840001	850000	10000	352	350
Chr07	845001	855000	10000	391	374
Chr07	850001	860000	10000	399	346
Chr07	855001	865000	10000	417	362
Chr07	860001	870000	10000	359	341
Chr07	865001	875000	10000	333	287
Chr07	870001	880000	10000	381	344
Chr07	875001	885000	10000	324	338
Chr07	880001	890000	10000	328	307
Chr07	885001	895000	10000	400	328
Chr07	890001	900000	10000	408	333
Chr07	895001	905000	10000	296	289
Chr07	900001	910000	10000	278	306
Chr07	905001	915000	10000	305	336
Chr07	910001	920000	10000	319	386
Chr07	915001	925000	10000	219	267
Chr07	920001	930000	10000	163	152
Chr07	925001	935000	10000	287	234
Chr07	930001	940000	10000	301	251
Chr07	935001	945000	10000	281	260
Chr07	940001	950000	10000	330	303
Chr07	945001	955000	10000	371	355
Chr07	950001	960000	10000	349	345
Chr07	955001	965000	10000	360	325
Chr07	960001	970000	10000	370	310
Chr07	965001	975000	10000	345	330
Chr07	970001	980000	10000	326	358
Chr07	975001	985000	10000	338	294
Chr07	980001	990000	10000	344	278
Chr07	985001	995000	10000	338	350
Chr07	990001	1000000	10000	366	335
Chr07	995001	1005000	10000	353	283
Chr07	1000001	1010000	10000	331	316
Chr07	1005001	1015000	10000	334	322
Chr07	1010001	1020000	10000	364	345
Chr07	1015001	1025000	10000	403	383
Chr07	1020001	1030000	10000	434	403
Chr07	1025001	1035000	10000	389	362
Chr07	1030001	1040000	10000	389	368
Chr07	1035001	1045000	10000	375	363
Chr07	1040001	1050000	10000	375	322
Chr07	1045001	1055000	10000	419	328
Chr07	1050001	1060000	10000	399	307
Chr07	1055001	1065000	10000	306	263
Chr07	1060001	1070000	10000	193	195
Chr07	1065001	1075000	10000	207	201
Chr07	1070001	1080000	10000	276	264
Chr07	1075001	1085000	10000	379	339
Chr07	1080001	1090000	10000	355	310
Chr07	1085001	1095000	10000	301	307
Chr07	1090001	1100000	10000	355	379
Chr07	1095001	1105000	10000	370	388
Chr07	1100001	1110000	10000	345	322
Chr07	1105001	1115000	10000	331	282
Chr07	1110001	1120000	10000	332	283
Chr07	1115001	1125000	10000	331	274
Chr07	1120001	1130000	10000	341	300
Chr07	1125001	1135000	10000	305	278
Chr07	1130001	1140000	10000	323	289
Chr07	1135001	1145000	10000	334	282
Chr07	1140001	1150000	10000	291	258
Chr07	1145001	1155000	10000	385	342
Chr07	1150001	1160000	10000	394	375
Chr07	1155001	1165000	10000	366	360
Chr07	1160001	1170000	10000	367	326
Chr07	1165001	1175000	10000	379	301
Chr07	1170001	1180000	10000	381	300
Chr07	1175001	1185000	10000	357	297
Chr07	1180001	1190000	10000	345	369
Chr07	1185001	1195000	10000	347	397
Chr07	1190001	1200000	10000	388	338
Chr07	1195001	1205000	10000	350	314
Chr07	1200001	1210000	10000	471	420
Chr07	1205001	1215000	10000	480	414
Chr07	1210001	1220000	10000	326	294
Chr07	1215001	1225000	10000	334	264
Chr07	1220001	1230000	10000	357	281
Chr07	1225001	1235000	10000	346	310
Chr07	1230001	1240000	10000	276	265
Chr07	1235001	1245000	10000	295	280
Chr07	1240001	1250000	10000	328	297
Chr07	1245001	1255000	10000	334	319
Chr07	1250001	1260000	10000	329	332
Chr07	1255001	1265000	10000	334	317
Chr07	1260001	1270000	10000	381	343
Chr07	1265001	1275000	10000	292	289
Chr07	1270001	1280000	10000	194	205
Chr07	1275001	1285000	10000	119	111
Chr07	1280001	1290000	10000	140	144
Chr07	1285001	1295000	10000	316	261
Chr07	1290001	1300000	10000	359	275
Chr07	1295001	1305000	10000	351	320
Chr07	1300001	1310000	10000	339	326
Chr07	1305001	1315000	10000	273	275
Chr07	1310001	1320000	10000	331	323
Chr07	1315001	1325000	10000	374	339
Chr07	1320001	1330000	10000	341	287
Chr07	1325001	1335000	10000	316	295
Chr07	1330001	1340000	10000	431	423
Chr07	1335001	1345000	10000	602	610
Chr07	1340001	1350000	10000	470	460
Chr07	1345001	1355000	10000	350	312
Chr07	1350001	1360000	10000	366	391
Chr07	1355001	1365000	10000	360	366
Chr07	1360001	1370000	10000	341	291
Chr07	1365001	1375000	10000	291	226
Chr07	1370001	1380000	10000	315	285
Chr07	1375001	1385000	10000	331	325
Chr07	1380001	1390000	10000	270	288
Chr07	1385001	1395000	10000	302	322
Chr07	1390001	1400000	10000	305	329
Chr07	1395001	1405000	10000	290	276
Chr07	1400001	1410000	10000	318	284
Chr07	1405001	1415000	10000	357	351
Chr07	1410001	1420000	10000	409	360
Chr07	1415001	1425000	10000	366	333
Chr07	1420001	1430000	10000	345	354
Chr07	1425001	1435000	10000	353	318
Chr07	1430001	1440000	10000	359	309
Chr07	1435001	1445000	10000	372	316
Chr07	1440001	1450000	10000	429	325
Chr07	1445001	1455000	10000	443	316
Chr07	1450001	1460000	10000	396	301
Chr07	1455001	1465000	10000	401	349
Chr07	1460001	1470000	10000	436	419
Chr07	1465001	1475000	10000	342	381
Chr07	1470001	1480000	10000	234	253
Chr07	1475001	1485000	10000	298	317
Chr07	1480001	1490000	10000	337	349
Chr07	1485001	1495000	10000	323	298
Chr07	1490001	1500000	10000	281	275
Chr07	1495001	1505000	10000	234	273
Chr07	1500001	1510000	10000	290	338
Chr07	1505001	1515000	10000	351	367
Chr07	1510001	1520000	10000	362	322
Chr07	1515001	1525000	10000	279	188
Chr07	1520001	1530000	10000	215	171
Chr07	1525001	1535000	10000	248	278
Chr07	1530001	1540000	10000	309	293
Chr07	1535001	1545000	10000	352	310
Chr07	1540001	1550000	10000	279	294
Chr07	1545001	1555000	10000	259	274
Chr07	1550001	1560000	10000	309	291
Chr07	1555001	1565000	10000	380	318
Chr07	1560001	1570000	10000	429	340
Chr07	1565001	1575000	10000	325	254
Chr07	1570001	1580000	10000	224	187
Chr07	1575001	1585000	10000	167	136
Chr07	1580001	1590000	10000	115	86
Chr07	1585001	1595000	10000	131	123
Chr07	1590001	1600000	10000	193	165
Chr07	1595001	1605000	10000	354	280
Chr07	1600001	1610000	10000	432	390
Chr07	1605001	1615000	10000	243	283
Chr07	1610001	1620000	10000	96	130
Chr07	1615001	1625000	10000	233	225
Chr07	1620001	1630000	10000	427	398
Chr07	1625001	1635000	10000	412	377
Chr07	1630001	1640000	10000	352	335
Chr07	1635001	1645000	10000	342	388
Chr07	1640001	1650000	10000	310	362
Chr07	1645001	1655000	10000	1005	1006
Chr07	1650001	1660000	10000	1056	1037
Chr07	1655001	1665000	10000	373	341
Chr07	1660001	1670000	10000	310	323
Chr07	1665001	1675000	10000	318	297
Chr07	1670001	1680000	10000	378	293
Chr07	1675001	1685000	10000	419	376
Chr07	1680001	1690000	10000	363	352
Chr07	1685001	1695000	10000	287	301
Chr07	1690001	1700000	10000	272	305
Chr07	1695001	1705000	10000	320	313
Chr07	1700001	1710000	10000	366	337
Chr07	1705001	1715000	10000	328	303
Chr07	1710001	1720000	10000	332	304
Chr07	1715001	1725000	10000	385	348
Chr07	1720001	1730000	10000	455	396
Chr07	1725001	1735000	10000	441	386
Chr07	1730001	1740000	10000	394	341
Chr07	1735001	1745000	10000	402	383
Chr07	1740001	1750000	10000	414	399
Chr07	1745001	1755000	10000	386	395
Chr07	1750001	1760000	10000	372	371
Chr07	1755001	1765000	10000	336	312
Chr07	1760001	1770000	10000	283	305
Chr07	1765001	1775000	10000	314	306
Chr07	1770001	1780000	10000	387	356
Chr07	1775001	1785000	10000	400	425
Chr07	1780001	1790000	10000	327	415
Chr07	1785001	1795000	10000	360	393
Chr07	1790001	1800000	10000	370	356
Chr07	1795001	1805000	10000	334	355
Chr07	1800001	1810000	10000	368	380
Chr07	1805001	1815000	10000	424	422
Chr07	1810001	1820000	10000	402	410
Chr07	1815001	1825000	10000	342	313
Chr07	1820001	1830000	10000	328	302
Chr07	1825001	1835000	10000	301	271
Chr07	1830001	1840000	10000	311	230
Chr07	1835001	1845000	10000	300	221
Chr07	1840001	1850000	10000	263	250
Chr07	1845001	1855000	10000	278	285
Chr07	1850001	1860000	10000	345	291
Chr07	1855001	1865000	10000	330	281
Chr07	1860001	1870000	10000	306	328
Chr07	1865001	1875000	10000	310	364
Chr07	1870001	1880000	10000	328	336
Chr07	1875001	1885000	10000	367	314
Chr07	1880001	1890000	10000	366	374
Chr07	1885001	1895000	10000	381	389
Chr07	1890001	1900000	10000	344	315
Chr07	1895001	1905000	10000	294	277
Chr07	1900001	1910000	10000	322	300
Chr07	1905001	1915000	10000	315	323
Chr07	1910001	1920000	10000	296	277
Chr07	1915001	1925000	10000	351	291
Chr07	1920001	1930000	10000	392	389
Chr07	1925001	1935000	10000	361	399
Chr07	1930001	1940000	10000	358	321
Chr07	1935001	1945000	10000	531	453
Chr07	1940001	1950000	10000	569	513
