chromosome	start	end	width	test	ref
chr4	1	10000	10000	0	0
chr4	5001	15000	10000	67	178
chr4	10001	20000	10000	180	447
chr4	15001	25000	10000	229	555
chr4	20001	30000	10000	267	679
chr4	25001	35000	10000	252	652
chr4	30001	40000	10000	249	614
chr4	35001	45000	10000	337	835
chr4	40001	50000	10000	389	975
chr4	45001	55000	10000	346	866
chr4	50001	60000	10000	361	913
chr4	55001	65000	10000	408	1034
chr4	60001	70000	10000	343	811
chr4	65001	75000	10000	178	396
chr4	70001	80000	10000	68	173
chr4	75001	85000	10000	77	172
chr4	80001	90000	10000	66	176
chr4	85001	95000	10000	80	200
chr4	90001	100000	10000	104	201
chr4	95001	105000	10000	92	204
chr4	100001	110000	10000	66	179
chr4	105001	115000	10000	60	160
chr4	110001	120000	10000	74	174
chr4	115001	125000	10000	72	170
chr4	120001	130000	10000	65	146
chr4	125001	135000	10000	76	172
chr4	130001	140000	10000	73	207
chr4	135001	145000	10000	63	204
chr4	140001	150000	10000	65	197
chr4	145001	155000	10000	65	173
chr4	150001	160000	10000	73	162
chr4	155001	165000	10000	85	170
chr4	160001	170000	10000	72	165
chr4	165001	175000	10000	65	150
chr4	170001	180000	10000	78	173
chr4	175001	185000	10000	83	186
chr4	180001	190000	10000	71	167
chr4	185001	195000	10000	69	176
chr4	190001	200000	10000	89	160
chr4	195001	205000	10000	85	149
chr4	200001	210000	10000	62	173
chr4	205001	215000	10000	67	179
chr4	210001	220000	10000	79	165
chr4	215001	225000	10000	66	158
chr4	220001	230000	10000	58	170
chr4	225001	235000	10000	73	177
chr4	230001	240000	10000	68	172
chr4	235001	245000	10000	61	176
chr4	240001	250000	10000	92	189
chr4	245001	255000	10000	85	193
chr4	250001	260000	10000	71	202
chr4	255001	265000	10000	91	167
chr4	260001	270000	10000	98	160
chr4	265001	275000	10000	74	188
chr4	270001	280000	10000	73	184
chr4	275001	285000	10000	82	175
chr4	280001	290000	10000	66	165
chr4	285001	295000	10000	75	183
chr4	290001	300000	10000	68	173
chr4	295001	305000	10000	51	156
chr4	300001	310000	10000	69	169
chr4	305001	315000	10000	82	163
chr4	310001	320000	10000	77	156
chr4	315001	325000	10000	73	139
chr4	320001	330000	10000	71	143
chr4	325001	335000	10000	70	147
chr4	330001	340000	10000	67	151
chr4	335001	345000	10000	63	149
chr4	340001	350000	10000	77	137
chr4	345001	355000	10000	83	149
chr4	350001	360000	10000	74	161
chr4	355001	365000	10000	73	160
chr4	360001	370000	10000	68	168
chr4	365001	375000	10000	62	164
chr4	370001	380000	10000	74	132
chr4	375001	385000	10000	77	138
chr4	380001	390000	10000	69	148
chr4	385001	395000	10000	68	161
chr4	390001	400000	10000	65	169
chr4	395001	405000	10000	62	157
chr4	400001	410000	10000	59	172
chr4	405001	415000	10000	71	181
chr4	410001	420000	10000	85	167
chr4	415001	425000	10000	84	156
chr4	420001	430000	10000	84	170
chr4	425001	435000	10000	85	185
chr4	430001	440000	10000	79	168
chr4	435001	445000	10000	88	164
chr4	440001	450000	10000	92	175
chr4	445001	455000	10000	88	173
chr4	450001	460000	10000	83	163
chr4	455001	465000	10000	69	157
chr4	460001	470000	10000	61	163
chr4	465001	475000	10000	76	183
chr4	470001	480000	10000	89	162
chr4	475001	485000	10000	72	130
chr4	480001	490000	10000	75	158
chr4	485001	495000	10000	79	169
chr4	490001	500000	10000	64	157
chr4	495001	505000	10000	63	162
chr4	500001	510000	10000	63	167
chr4	505001	515000	10000	53	156
chr4	510001	520000	10000	52	137
chr4	515001	525000	10000	53	131
chr4	520001	530000	10000	45	140
chr4	525001	535000	10000	54	148
chr4	530001	540000	10000	71	164
chr4	535001	545000	10000	72	163
chr4	540001	550000	10000	93	191
